# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-08-27 23:08:37.031
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.016710,0.3037,-0.0337,-0.0062,0.31
0.016891,0.0387,-0.1966,-0.8505,0.87
0.028360,-0.2571,-0.2060,-1.5367,1.57
0.040165,0.0231,-0.1705,-1.2220,1.23
0.047594,0.5457,-0.1519,-0.5921,0.82
0.060676,0.7090,-0.0424,-0.2459,0.75
0.066898,0.5969,0.1310,-0.0780,0.62
0.076949,0.4655,0.2534,0.0162,0.53
0.096263,0.1851,0.3390,-0.1356,0.41
0.096697,-0.2088,0.4730,-0.3220,0.61
0.111409,-0.4796,0.6250,-0.4046,0.89
0.117232,-0.4953,0.6029,-0.4755,0.91
0.127046,-0.2850,0.5757,-0.6719,0.93
0.145058,0.0422,0.6319,-0.8599,1.07
0.147143,0.2118,0.7760,-0.8758,1.19
0.162061,0.2886,0.8803,-0.8871,1.28
0.178318,0.3080,0.8995,-1.0134,1.39
0.178474,0.2762,0.8328,-1.0804,1.39
0.191979,0.1891,0.7340,-1.0451,1.29
0.197575,0.1024,0.6713,-1.0584,1.26
0.213285,-0.0069,0.6678,-1.0072,1.21
0.228682,-0.0410,0.6608,-1.0150,1.21
0.228780,-0.1627,0.5180,-0.9430,1.09
0.241264,-0.2273,0.5434,-0.8251,1.01
0.248646,0.1168,0.5867,-0.9094,1.09
0.261920,0.4065,0.7373,-0.9956,1.30
0.274427,0.1017,0.7855,-1.2307,1.46
0.277662,-0.4601,0.6766,-1.3132,1.55
0.292980,-1.2687,0.7506,-0.8651,1.71
0.297273,-1.6955,0.8650,0.1130,1.91
0.315934,-1.6567,1.1395,1.0835,2.28
0.329930,-1.3156,1.4954,0.9073,2.19
0.330069,0.1492,1.6520,-0.0706,1.66
0.343169,1.3987,1.6870,-0.5521,2.26
0.347689,1.7540,1.4124,-0.5713,2.32
0.358915,2.2891,0.7713,-0.2999,2.43
0.379112,2.6149,0.0818,0.1368,2.62
