# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-08-27 22:54:21.487
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.007242,-0.0155,0.2466,-0.0448,0.25
0.014631,0.0340,0.1232,-0.2465,0.28
0.022570,-0.0687,0.1442,-0.2487,0.30
0.027780,-0.1616,0.1855,-0.0448,0.25
0.041079,-0.1170,0.2448,0.1392,0.30
0.049380,0.0092,0.3304,0.2636,0.42
0.059018,0.0965,0.4184,0.4144,0.60
0.075753,0.0554,0.3843,0.4267,0.58
0.079599,0.0446,0.3564,0.3176,0.48
0.092544,0.1424,0.3175,0.4980,0.61
0.098518,0.0927,0.1212,0.3941,0.42
0.108347,-0.1429,0.2365,-0.0038,0.28
0.125888,-0.0156,0.4370,0.0050,0.44
0.128221,0.2639,0.3196,0.0426,0.42
0.142081,0.2970,0.1202,-0.0892,0.33
0.148160,0.2175,-0.1967,-0.4954,0.58
0.158284,0.1209,-0.4402,-0.4125,0.62
0.173420,0.0735,-0.3566,0.3826,0.53
0.178249,0.0663,0.4261,1.3459,1.41
0.194882,0.3537,0.9040,1.5088,1.79
0.198832,0.4537,0.8246,0.9509,1.34
0.208350,0.4503,0.7243,0.8160,1.18
0.221680,0.2471,0.5757,0.9924,1.17
0.228229,0.1728,0.5523,1.2804,1.41
0.238213,-0.2960,0.2208,1.4730,1.52
0.248461,0.1004,-0.9514,2.1885,2.39
0.258567,0.0330,1.5621,1.6144,2.25
0.276641,0.1111,3.8368,1.7664,4.23
0.278508,1.0280,3.3208,1.8700,3.95
0.291826,1.4843,2.2880,1.8743,3.31
0.299016,1.3897,1.7826,2.1439,3.12
0.308755,0.8568,1.2612,2.7265,3.12
0.323790,-0.2085,0.7646,3.7677,3.85
0.329724,-1.3877,0.6149,4.7050,4.94
0.341291,-2.3150,0.5476,4.1144,4.75
0.349410,-2.9531,1.1444,2.6912,4.16
0.358762,-2.8441,1.7856,1.1842,3.56
0.379838,-2.1988,1.4737,0.2076,2.66
0.379965,-1.9247,0.9766,-0.3782,2.19
0.394260,-1.9429,0.7078,-0.9514,2.28
0.398489,-1.1620,0.2342,-0.9160,1.50
0.410402,-0.3974,-0.0484,-1.1493,1.22
0.428579,0.0198,0.1166,-1.1886,1.19
0.429011,-0.4296,0.3200,-1.5819,1.67
0.440364,-1.7344,0.2583,-1.4836,2.30
0.449707,-2.6143,0.3273,-1.0111,2.82
0.462438,-2.8005,0.2014,-0.9686,2.97
0.476842,-2.7935,-0.1814,-0.9125,2.94
0.479143,-2.9826,0.1323,-0.8317,3.10
0.490726,-2.4560,0.5269,-1.0529,2.72
0.500088,-1.5673,0.2930,-1.0668,1.92
0.512843,-1.3581,-0.0798,-1.6667,2.15
0.520552,-1.8234,-0.0732,-2.0656,2.76
0.529950,-2.5538,0.2516,-1.9123,3.20
0.539713,-2.9198,0.6819,-1.5917,3.39
0.558923,-2.8058,1.2335,-1.2536,3.31
0.559107,-2.2480,1.4235,-0.9470,2.82
0.575167,-1.6710,1.1526,-0.7017,2.15
0.578772,-1.0921,0.3816,-0.8450,1.43
0.590708,-0.4533,-0.4227,-1.3322,1.47
0.598754,-0.0527,-1.1758,-2.1772,2.47
0.609441,0.4677,-1.4179,-3.1968,3.53
0.626972,1.3014,-1.2715,-3.6091,4.04
0.628866,2.3395,-1.0167,-3.4103,4.26
0.642218,2.9052,-0.6244,-2.5518,3.92
0.649298,2.4836,-0.2583,-1.6507,2.99
0.663700,1.6498,-0.1028,-0.4468,1.71
0.675361,0.4469,0.1418,-0.2565,0.53
0.679535,-0.6737,0.1030,-0.6043,0.91
0.690148,-1.4936,-0.3632,-1.2128,1.96
0.699986,-1.8826,-0.2477,-1.1228,2.21
0.710221,-2.4213,0.4159,-0.6188,2.53
0.728109,-2.1857,0.5243,0.0099,2.25
0.729520,-1.1132,0.6377,-0.0634,1.28
0.743510,-0.2644,1.1198,-0.4452,1.23
0.758567,-0.9652,3.1965,-0.1796,3.34
0.759010,-0.8980,3.7917,-0.4219,3.92
0.773688,0.2798,2.6115,-1.2695,2.92
0.780898,1.3726,1.2611,-2.5738,3.18
0.792928,2.7935,0.0936,-3.4224,4.42
0.799808,3.5039,-0.2425,-4.2765,5.53
0.811664,3.3291,0.4315,-4.5963,5.69
0.823884,2.8576,1.3335,-3.9941,5.09
0.829663,2.5464,2.2039,-3.1870,4.64
0.845274,2.3261,2.7725,-3.0836,4.75
0.859528,2.0268,2.6220,-3.3203,4.69
0.859943,1.6636,1.9012,-2.7139,3.71
0.875329,1.3578,1.4548,-1.5843,2.54
0.879959,1.1753,1.5332,-0.4299,1.98
0.891635,1.2842,1.4741,0.1630,1.96
0.906359,1.7875,0.7385,0.2922,1.96
0.909774,2.3868,-1.0425,1.5371,3.02
0.922392,3.4060,-2.4921,1.8366,4.60
0.930444,3.9936,-2.5964,1.1892,4.91
0.940302,2.8227,-1.7649,-1.3312,3.59
0.958091,1.5550,-1.5365,-3.4637,4.10
0.959976,-0.2657,-0.4575,-2.2395,2.30
0.976887,-2.5386,0.5374,0.3037,2.61
0.980126,-3.7409,0.9241,1.9766,4.33
0.993281,-6.0795,2.1839,2.1165,6.80
1.008594,-5.8620,0.5251,2.7879,6.51
1.009827,-4.6745,-1.1470,4.1183,6.33
1.025962,-3.2467,-2.7980,5.0170,6.60
1.030307,-1.6889,-4.1783,4.9229,6.67
1.040528,-1.0573,-4.1768,4.5789,6.29
1.057733,-1.3281,-3.2886,4.3277,5.60
1.060465,-1.5775,-2.0675,4.1317,4.88
1.080646,-1.5325,-1.2369,3.7797,4.26
1.080802,-1.2652,-0.9289,2.9909,3.38
1.091265,-0.7420,-0.8895,2.2676,2.55
1.106415,-0.6005,-0.7069,1.1725,1.50
1.110471,-0.6332,-1.4250,-0.1716,1.57
1.125468,-0.9278,-1.6199,-2.3839,3.03
1.130888,-1.4042,-1.6825,-5.1990,5.64
1.143893,-1.5862,-1.4853,-6.3275,6.69
1.159848,-2.2691,-0.6542,-4.9011,5.44
1.160245,-3.2580,0.1913,-2.2840,3.98
1.175523,-3.1100,-0.0757,-0.2639,3.12
1.181074,-2.5321,-0.3957,0.8065,2.69
1.190398,-1.9732,-0.4333,1.5356,2.54
1.205753,-1.3443,-0.0984,2.0545,2.46
1.210843,-0.3912,0.0816,2.3765,2.41
1.228127,0.6778,-0.0523,1.8460,1.97
1.230676,1.7122,-0.5197,0.6603,1.91
1.243209,2.4305,-0.9460,-0.4162,2.64
1.255005,2.3497,-0.5890,-1.1952,2.70
1.261700,1.4125,0.2267,-1.3725,1.98
1.275995,0.2788,1.0843,-1.1272,1.59
1.282294,-0.4195,1.4313,-0.6196,1.62
1.291928,-0.5356,1.1110,-0.2363,1.26
1.304360,-0.7853,1.0992,-0.0719,1.35
1.310539,-0.7449,0.8751,-0.2254,1.17
1.322487,-0.5443,0.3853,-0.6466,0.93
1.331776,-0.1999,-0.3716,-1.1634,1.24
1.340629,0.1264,-0.6595,-1.6126,1.75
1.359459,0.2503,-0.2760,-1.7161,1.76
1.361487,0.2091,0.3199,-1.5491,1.60
1.377213,0.2097,0.7401,-1.6568,1.83
1.380795,0.5027,0.9659,-2.0877,2.35
1.392945,0.8248,1.1483,-2.4137,2.80
1.409418,0.9961,1.3597,-2.4087,2.94
1.410958,1.2142,1.6610,-2.0365,2.89
1.424197,1.5649,1.8314,-1.5379,2.86
1.431101,2.0175,1.6744,-1.0208,2.81
1.441253,2.1415,1.5263,-0.5943,2.70
1.461463,2.3956,1.3208,-0.5012,2.78
1.473259,3.4513,-0.1030,-0.8605,3.56
1.482379,3.5977,-0.5780,-1.4595,3.93
1.501222,3.3284,-1.1995,-2.7869,4.50
1.511443,2.9633,-1.0289,-2.6340,4.10
1.528236,2.7739,-0.5568,-1.8339,3.37
1.542465,2.8469,-0.2627,-1.0070,3.03
1.553206,3.3260,-0.7814,-1.2663,3.64
1.573617,3.3301,-1.9379,-2.2719,4.47
1.587636,2.7939,-1.9117,-1.9068,3.89
1.591181,1.8950,-1.2688,-1.0118,2.49
1.602815,1.1255,-0.5672,-0.4833,1.35
